company_id,name,industry,description,building_id,postal_code,address,latitude,longitude
cmp_001,Google合同会社,IT・通信,世界最大の検索エンジンを運営するテクノロジー企業。クラウドサービスやAndroid OSなども展開。,bld_001,106-6108,東京都港区六本木6-10-1,35.6604,139.7292
cmp_002,楽天グループ株式会社,IT・通信,ECサイト「楽天市場」を運営。金融・通信・スポーツなど多角的に事業展開。,bld_003,107-0052,東京都港区赤坂9-7-1,35.6657,139.7310
cmp_003,サイバーエージェント,IT・通信,インターネット広告事業とAbemaTVを展開。ゲーム事業も手掛ける。,bld_002,150-6139,東京都渋谷区渋谷2-24-12,35.6580,139.7016
cmp_004,GMOインターネットグループ,IT・通信,インターネットインフラ事業を展開。ドメイン・レンタルサーバー・決済サービスなど。,bld_002,150-6139,東京都渋谷区渋谷2-24-12,35.6580,139.7016
cmp_005,森ビル株式会社,不動産・建設,六本木ヒルズや虎ノ門ヒルズなどの都市開発を手掛けるデベロッパー。,bld_001,106-6108,東京都港区六本木6-10-1,35.6604,139.7292
cmp_006,ゴールドマン・サックス証券,金融・保険,世界有数の投資銀行。M&Aアドバイザリーや証券業務を展開。,bld_001,106-6108,東京都港区六本木6-10-1,35.6604,139.7292
cmp_007,日本郵便株式会社,サービス,郵便事業を担う日本郵政グループの中核企業。全国に郵便局ネットワークを展開。,bld_006,100-7090,東京都千代田区丸の内2-7-2,35.6789,139.7638
cmp_008,三菱商事株式会社,製造業,日本最大の総合商社。エネルギー・金属・機械など多様な事業を展開。,bld_009,100-6390,東京都千代田区丸の内2-4-1,35.6810,139.7640
cmp_009,三菱UFJ銀行,金融・保険,日本最大のメガバンク。国内外に広範な営業拠点を持つ。,bld_009,100-6390,東京都千代田区丸の内2-4-1,35.6810,139.7640
cmp_010,東京海上日動火災保険,金融・保険,日本最大手の損害保険会社。自動車保険・火災保険などを提供。,bld_011,100-8133,東京都千代田区大手町1-5-5,35.6866,139.7630
cmp_011,株式会社ミクシィ,IT・通信,SNS「mixi」の運営からスタート。現在はモンスターストライクなどゲーム事業が主力。,bld_002,150-6139,東京都渋谷区渋谷2-24-12,35.6580,139.7016
cmp_012,TBSテレビ,メディア・広告,民放キー局の一つ。報道・ドラマ・バラエティなど幅広いコンテンツを制作。,bld_012,107-6390,東京都港区赤坂5-3-1,35.6742,139.7340
cmp_013,アマゾンジャパン合同会社,小売・流通,世界最大のECサイトを運営。クラウドサービスAWSも展開。,bld_004,105-6390,東京都港区虎ノ門1-23-1,35.6691,139.7504
cmp_014,ソニーグループ株式会社,製造業,エレクトロニクス・エンタテインメント・金融の複合企業。PlayStation等を展開。,bld_008,108-6090,東京都港区港南2-15-1,35.6265,139.7408
cmp_015,東日本旅客鉄道株式会社,サービス,JR東日本。首都圏を中心に鉄道事業を運営。駅ナカ事業も拡大中。,bld_010,100-6690,東京都千代田区丸の内1-9-2,35.6793,139.7673
