building_id,name,postal_code,address,latitude,longitude,height,floors_above,floors_below,architect,constructor,image_urls
bld_001,六本木ヒルズ森タワー,106-6108,東京都港区六本木6-10-1,35.6604,139.7292,238,54,6,コーン・ペダーセン・フォックス,大林組,
bld_002,渋谷スクランブルスクエア,150-6139,東京都渋谷区渋谷2-24-12,35.6580,139.7016,229.7,47,7,日建設計・隈研吾建築都市設計事務所,東急建設・大林組JV,
bld_003,東京ミッドタウン,107-0052,東京都港区赤坂9-7-1,35.6657,139.7310,248.1,54,5,SOM・日建設計,竹中工務店,
bld_004,虎ノ門ヒルズ森タワー,105-6390,東京都港区虎ノ門1-23-1,35.6691,139.7504,255.5,52,5,日本設計,大成建設,
bld_005,東京スカイツリーイーストタワー,131-0045,東京都墨田区押上1-1-2,35.7101,139.8107,158,31,3,日建設計,大林組,
bld_006,JPタワー,100-7090,東京都千代田区丸の内2-7-2,35.6789,139.7638,200,38,4,三菱地所設計・マーフィー/ヤーン,大成建設,
bld_007,新宿パークタワー,163-1001,東京都新宿区西新宿3-7-1,35.6856,139.6917,235,52,5,丹下健三・都市・建築設計研究所,鹿島建設,
bld_008,品川インターシティ,108-6090,東京都港区港南2-15-1,35.6265,139.7408,144.5,32,4,日本設計,清水建設,
bld_009,丸の内ビルディング,100-6390,東京都千代田区丸の内2-4-1,35.6810,139.7640,179.2,37,4,三菱地所設計,大成建設,
bld_010,グラントウキョウサウスタワー,100-6690,東京都千代田区丸の内1-9-2,35.6793,139.7673,204.9,42,4,日建設計・ヘルムート・ヤーン,竹中工務店,
bld_011,大手町タワー,100-8133,東京都千代田区大手町1-5-5,35.6866,139.7630,200,38,6,三菱地所設計,鹿島建設,
bld_012,赤坂Bizタワー,107-6390,東京都港区赤坂5-3-1,35.6742,139.7340,179,39,3,日建設計,大林組,
