building_id,name,postal_code,address,latitude,longitude,map_embed,height,floors_above,floors_below,architect,constructor,construction_start,completion,image_urls,streetview_embed
,JAビル,100-0004,東京都千代田区大手町一丁目3-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2002.4776583545852!2d139.76090904596333!3d35.68853035520883!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c061d2b2677%3A0xbaf2735fc7eb8025!2z44CSMTAwLTAwMDQg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65aSn5omL55S677yR5LiB55uu77yT4oiS77yRIEpB44OT44Or!5e0!3m2!1sja!2sjp!4v1717254383855!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",180,37,3,三菱地所設計、全国農協設計、NTTファシリティーズ,鹿島建設,200704,200904,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1717254429365!6m8!1m7!1sGC29KU65q2u5zDHSq4LgXw!2m2!1d35.68951643352025!2d139.7635952517178!3f221.59791418031054!4f34.0450850846228!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,JA共済ビル,102-0093,東京都千代田区平河町二丁目7-9,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2547.6410661787545!2d139.73825096151245!3d35.680031950315175!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c7a28155555%3A0x1d381e78356b6e8f!2zSkHlhbHmuIjjg5Pjg6s!5e0!3m2!1sja!2sjp!4v1717254469675!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",102,21,2,日本設計,竹中工務店,200806,201102,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1717254494381!6m8!1m7!1sxS2H4Mt-jdc9iDHeICBc6A!2m2!1d35.67978802625148!2d139.7398054445493!3f47.734909142065874!4f35.678024918343624!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,JPタワー,100-0005,東京都千代田区丸の内二丁目7-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2475.1213046117477!2d139.76263358698876!3d35.679820269585974!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bfa37ab7571%3A0xf96f6a64e0a83800!2zSlDjgr_jg6_jg7w!5e0!3m2!1sja!2sjp!4v1717254526538!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",200,38,4,三菱地所設計,大成建設,200911,201205,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1717254562160!6m8!1m7!1sB3nTz-huQ3pIYcLJjTzxJA!2m2!1d35.6806838682857!2d139.7643858747165!3f159.33968645384726!4f36.56160364494069!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,JRセントラルタワーズ,450-0002,愛知県名古屋市中村区名駅一丁目1-4,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2853.4419982540935!2d136.87993750585295!3d35.17190259741999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6003771e8c676b71%3A0x2e9ed74ab2c12142!2zSlLjgrvjg7Pjg4jjg6njg6vjgr_jg6_jg7zjgro!5e0!3m2!1sja!2sjp!4v1720938825045!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",245.1,51,4,大成建設、坂倉建築研究所、東海旅客鉄道,大成建設、鹿島建設、大林組、清水建設、熊谷組、竹中工務店、鉄建建設、名工建設、ジェイアール東海建設、新生テクノス、東海交通機械,199408,199912,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720938997296!6m8!1m7!1sWZPaAAxH5VXwewxgY7OQRQ!2m2!1d35.17221788842555!2d136.8838576959973!3f216.42361158434161!4f33.48860956133929!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,JR新宿ミライナタワー,160-0022,東京都新宿区新宿四丁目1-6,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2547.3603770690424!2d139.69940296044342!3d35.68882242161155!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188cdac81f3bf5%3A0xd403531021487474!2zSlLmlrDlrr_jg5_jg6njgqTjg4rjgr_jg6_jg7w!5e0!3m2!1sja!2sjp!4v1720949748928!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",168.16,32,2,東日本旅客鉄道東京工事事務所、ジェイアール東日本建築設計事務所、シナト、森村設計,大林組、大成建設、鉄建建設,200604,201603,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1768833744168!6m8!1m7!1smPPN5zNeQrPCqqR2tOV2vg!2m2!1d35.68948340447207!2d139.7020332012869!3f195.88701009977606!4f40.806194128041085!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,msb Tamachi 田町ステーションタワーN,108-0023,東京都港区芝浦三丁目1-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3242.261824197267!2d139.747058976216!3d35.64592037259857!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188be8ac0aa177%3A0x24f07c3e3f568be0!2zbXNiIFRhbWFjaGkg55Sw55S644K544OG44O844K344On44Oz44K_44Ov44O8Tg!5e0!3m2!1sja!2sjp!4v1725875966886!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",180.8,36,2,三菱地所設計・日建設計,清水建設,201708,202007,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1725876002956!6m8!1m7!1sK5Q2ONVBQOSJAg_R7dm47Q!2m2!1d35.64641380827967!2d139.7503388126582!3f202.95989210331805!4f41.409403809303114!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,msb Tamachi 田町ステーションタワーS,108-0023,東京都港区芝浦三丁目1-21,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2476.1946832632457!2d139.7481405979334!3d35.64520132111333!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b001e78e615%3A0xfd0984ebd80860c1!2zbXNiIFRhbWFjaGkg55Sw55S644K544OG44O844K344On44Oz44K_44Ov44O8Uw!5e0!3m2!1sja!2sjp!4v1720950902441!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",168.9,31,2,三菱地所設計・日建設計,大成建設,201510,201805,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720950984878!6m8!1m7!1sJMswI0ECGmuPMtv2XmVlOw!2m2!1d35.6440699468981!2d139.7488174453656!3f32.530146681883735!4f34.860347417553555!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,Otemachi Oneタワー,100-0004,東京都千代田区大手町一丁目2-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.563426687277!2d139.76125428426917!3d35.687750326399794!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6dc8535d45%3A0x6ebb1235383b9344!2sOtemachi%20One%20Tower!5e0!3m2!1sja!2sjp!4v1761982049552!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",200,40,5,日建設計・鹿島建設,鹿島建設,201605,202002,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1761982106349!6m8!1m7!1sSb_-sZpvj88bkyaQGzfbrA!2m2!1d35.68692424233254!2d139.763912217196!3f320.5497620984307!4f36.71277556989067!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,TODA BUILDING,104-0031,東京都中央区京橋一丁目7-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.945709320841!2d139.76690684483978!3d35.67833876976778!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b7e457dd259%3A0xe67d1aa9d85c2d88!2sTODA%20BUILDING!5e0!3m2!1sja!2sjp!4v1761983434445!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",165.21,28,3,戸田建設,戸田建設,202108,202409,,※ストリートビュー準備中※
,アークヒルズ仙石山森タワー,106-0032,東京都港区六本木一丁目9-10,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2475.6255337858133!2d139.74149473470072!3d35.663561340724605!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b9a6c63f4fd%3A0x91026aef4d74cbda!2z44Ki44O844Kv44OS44Or44K6IOS7meefs-WxseajruOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1720952927304!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",206.69,47,4,森ビル、入江三宅設計事務所、ペリ・クラーク・ペリ・アーキテクツ・ジャパン（外装デザイン）,大林組,200910,201208,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720953057748!6m8!1m7!1siaufVe3obqD5iEMUbYm2IA!2m2!1d35.66402288692385!2d139.7407911263537!3f118.30259457764485!4f35.38095719579853!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,アーク森ビル,107-0052,東京都港区赤坂一丁目12-32,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4005.959295060277!2d139.73802894557102!3d35.66852862772895!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b85242e57f5%3A0x2e2a6d53c06e2c27!2z44Ki44O844Kv5qOu44OT44Or!5e0!3m2!1sja!2sjp!4v1720953232161!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",153.34,37,6,森ビル、入江三宅設計事務所,鹿島建設、戸田建設、フジタ工業,198311,198603,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720953270383!6m8!1m7!1sMSVYbgw3L7bfDSGLmS8c9Q!2m2!1d35.66820693989522!2d139.7402739980424!3f187.21218192461393!4f29.149153759972506!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
